text	labels
relentlessly demonstrated	neg
criticisms	neg
in fact poverty	neg
does not entitle	neg
reached boiling point	neg
roughly	neg
the demonstrations	neg
lacked conclusiveness and were not operational	neg
reducing their margin of security	neg
firm opposition	neg
flopped completely	neg
reserves	neg
failed experiences	neg
already volatile	neg
intense dissatisfaction and frustration	neg
breeds insecurity	neg
undermining	neg
position and particular stance opposed to	neg
controlling the world of politics globally	neg
very easily lost	neg
raising concerns	neg
and killed	neg
reminded	neg
whose land was occupied	neg
scenes of destruction	neg
tragic and shocking	neg
persecuting	neg
enormous injustice	neg
scenes of destruction	neg
who were expelled from their homeland	neg
bombarded	neg
hatred	neg
feeling sorry	neg
falling victim	neg
expressed sympathy	neg
grief and sorrow	neg
suffered	neg
take advantage of the us tragedy	neg
demolished	neg
has struck innocent women and children and defenseless civilians	neg
denying them the right	neg
totally biased	neg
a twisted logic	neg
ongoing devastation	neg
destroying	neg
who were deprived of the minimum political and human rights	neg
refusing	neg
charged	neg
do not want	neg
could undermine	neg
have been warned	neg
one of the worst days in american history	neg
great shock and sorrow	neg
ghastly and barbaric	neg
strongly condemn	neg
labelling	neg
act of terrorism	neg
attack on our global village	neg
loss of innocent lives	neg
condemns unreservedly and in the strongest terms	neg
ghastly and barbaric act of terrorism	neg
trying time	neg
wanton destruction of property	neg
condemned	neg
turned down	neg
would not stand idly by	neg
disruption of peace for mankind	neg
voiced his condolences	neg
everything good and nice	neg
exceeded	neg
continued to keep alive	neg
dramatic	neg
not easy	neg
context of the struggle against international terrorism	neg
was criticized	neg
had caused the demise	neg
a threat	neg
keep a distance from america	neg
chapter of international terror . 	neg
this warning	neg
the common enemy	neg
did not succeed	neg
may be seen behind terror	neg
hands behind chechen terrorism , 	neg
much more than what one could have expected	neg
has written the name of moscow on the registration page of the american side	neg
the cold war stereotype	neg
they rubbed their palms at length	neg
only	neg
suspected	neg
suspected	neg
leak over the frontiers	neg
suspected	neg
unsure	neg
desperate	neg
only too aware	neg
ensure instability or militancy	neg
mastermind of the terror attacks	neg
warned	neg
however	neg
already disastrous	neg
unavoidable	neg
tragic culmination	neg
play its trump card	neg
commit further acts of terrorism	neg
difficult	neg
unbelievable provocation	neg
necessary evil	neg
destroy the very foundations of the west	neg
a degree of repression	neg
sat back with arms folded would have made us all hostages	neg
little one can do about it	neg
remain a risky enterprise	neg
many and often confusing	neg
thanks to the taliban regime	neg
very imperfect	neg
very well defined and perverse	neg
reactions of repulsion	neg
real danger	neg
would not	neg
unfortunately	neg
a bitter pill to swallow	neg
mired in	neg
increasingly critical	neg
caused unease	neg
criticize	neg
affront against law and democracy	neg
new dimension of crime against humanity	neg
do n't want	neg
war against islam	neg
expressed concern	neg
worried	neg
worried	neg
most dangerous enemy	neg
crime against humanity	neg
to be seen or to be perceived	neg
warned	neg
considered	neg
could destabilise	neg
pretext to crack down on legitimate dissent	neg
can jeopardise peace and security , law and order	neg
can create trouble and instability	neg
opposes	neg
do n't want	neg
all these innocent people being killed	neg
will rise against	neg
mix up	neg
at the expense	neg
disputes between	neg
mounting concerns	neg
unequivocally denied	neg
refusing	neg
some unpalatable measures	neg
refusal	neg
appalling	neg
has been finding it extremely difficult	neg
are refusing	neg
am afraid to say	neg
self - styled	neg
have severed ties	neg
sanctions busting	neg
no alternative	neg
sympathize	neg
concern	neg
displeasure	neg
concerns	neg
lashed out	neg
looming	neg
join hands to prevent	neg
will not be tolerated for long	neg
already turbulent	neg
yet another burden	neg
perpetrators	neg
disrespect of advice	neg
crush	neg
predatory behaviour	neg
inevitable chaos and war	neg
assassinations	neg
blatantly obstructed	neg
tragedy	neg
cycle of violence	neg
deceptive ploys	neg
total disregard	neg
turned out to be a fair - weather friend	neg
feared	neg
abhorrent	neg
tragedy	neg
affected every corner of the earth	neg
utter defiance	neg
recipe for disaster	neg
continued violence and aggression	neg
persistent and deliberate fuelling	neg
expansionist	neg
if tel aviv has not noticed	neg
opts for brute force	neg
aggression	neg
would callously exploit	neg
intensify and accelerate	neg
its self - seeking manipulation	neg
one of the most serious crises of our time	neg
devastating	neg
risks	neg
in order to stop the continuing decline	neg
refused by	neg
turned down	neg
divide and rule	neg
will take back conditions to their former state of tension	neg
confiscate the will	neg
not to deal with	neg
or so it claims	neg
to crush	neg
no more than an improved carbon copy	neg
has been on edge	neg
suspicions of	neg
mutinous	neg
affecting their medical , economic , educational , and social life	neg
trying to use the time factor	neg
mistake	neg
like the suffering	neg
unable to meet the minimum legitimate	neg
a kind of collective punishment	neg
heavy burden	neg
is also reflected	neg
the only way to peace	neg
have seen such suffering	neg
inalienable palestinian rights	neg
the suffering of	neg
disregards	neg
is also working to push	neg
who brag	neg
would only complicate things	neg
largely try to keep as much hegemony	neg
this suffering	neg
is not , in the first place , willing to recognize	neg
add fuel to the raging fire	neg
new labyrinths and tunnels	neg
should not be used to justify	neg
was concerned	neg
denied	neg
an excuse for repression	neg
undermine	neg
victim of terrorism	neg
if there are problems	neg
clamp down on freedom of expression and legitimate dissent	neg
warning	neg
have warned	neg
widespread problem of torture	neg
concerns	neg
no double standards should be pursued here	neg
worrying trend	neg
serious	neg
further criticism	neg
violations or shortcomings	neg
use the excuse of	neg
widespread use of torture	neg
taking advantage of	neg
am worried	neg
to express concerns	neg
am worried	neg
express concerns	neg
crack down	neg
has denied	neg
stance	neg
concern	neg
ominous phenomenon	neg
ongoing afghan crisis	neg
forestalling further oil price declines	neg
the fight against terrorism , violence and intrigues	neg
not going to remain silent	neg
warned	neg
a hidden subsidy	neg
peaceful protests	neg
we look at a bleak future	neg
are going to voice their concerns	neg
everybody jumped without checking whether there was a proper safety net at the bottom	neg
adverse effects	neg
must condemn	neg
claims	neg
virtually nothing	neg
the concerns	neg
rejection	neg
breach of the very constitution	neg
fundamentally unfair and unjust	neg
rendered worthless	neg
must be banned	neg
dont want	neg
reaps all the benefits of mock globalisation	neg
greenpeace is here to voice the concerns of millions of people	neg
would be street demonstrations	neg
to hide from protestors	neg
does not take any responsibility	neg
to challenge	neg
islands will go under	neg
demonstrations	neg
biggest global problem we are facing today	neg
demonstrations	neg
nations will vanish from the face of earth	neg
millions of people will have to leave their homes	neg
such a disadvantageous situation	neg
unfeasible	neg
hand it the bill	neg
will not be a game without risks	neg
promises are cheap	neg
prevents	neg
hand it the bill	neg
one that would be adversely affected	neg
would not like	neg
it has not kept its promises	neg
delivered a more devastating blow	neg
grim statistics trotted out	neg
think	neg
has no love lost	neg
incapacity to put crime under control	neg
more serious and direct challenge	neg
hostile reception	neg
more dangerous enemies at home than elsewhere	neg
represents the pessimistic outlook	neg
relished the role of cassandra to the philippine national police	neg
paint a grim picture	neg
there is a breakdown in law and order	neg
are less alarming	neg
have been rubbed on her skin	neg
the fire is raging at home	neg
is not in control	neg
to make this government fail	neg
is her nemesis	neg
sap the country's energy	neg
have issued advisories	neg
advisories	neg
bring the government down in turmoil	neg
has generated anxieties	neg
paints doomsday scenarios	neg
is travelling too much	neg
ca n't be burying its head in the sand	neg
she has misplaced strategic priorities	neg
strong perception	neg
just to embarrass the administration	neg
predatory	neg
scandal - mongering	neg
growing perception	neg
compatriots	neg
frighten tourists and investors away	neg
are as damaging as	neg
crusader	neg
he would receive a hostile reception	neg
raise questions	neg
fake	neg
create uncertainties	neg
warning	neg
sent alarm bells ringing	neg
the daunting problem of sparking an economic recovery	neg
perverse form of nationalist racism	neg
may also have changed nothing	neg
nothing would come of a meeting	neg
is at stake	neg
was also quite naive	neg
wanted to ignore economic issues	neg
in spite of the good offices	neg
blame for this fruitless effort	neg
his hands would be empty	neg
failure would be a foregone conclusion	neg
stinginess	neg
waited anxiously	neg
in the worst sort of way	neg
it had all been in vain	neg
can never be just one guilty party	neg
even went so far	neg
shortsightedness and irresponsibility	neg
but those were the us needs	neg
is also paying the price	neg
as if not enough	neg
unable to show a modicum of internal political discipline	neg
is still taking the cool approach	neg
realized	neg
political disadvantage	neg
confusion	neg
but	neg
warned	neg
with various concerns in mind	neg
has become irritating	neg
obvious domestic difficulties	neg
the leap into the void	neg
disadvantageous situation	neg
not the minister's confrontational style	neg
tendency toward confrontation	neg
even risking his own future	neg
not putting their letterhead on anything	neg
has heightened the suspicion	neg
concern	neg
one	neg
bothers	neg
loss of credibility	neg
unlikely	neg
apparent lack of a strategy	neg
in a risk zone	neg
was a deluge of doubts	neg
could not truly	neg
stressed	neg
scourges and social ills	neg
seriously hindered	neg
were suffering	neg
not only	neg
threatening to further marginalize	neg
unrealistic	neg
alienate	neg
deteriorating with each passing day	neg
horrors of	neg
hampering	neg
highest	neg
abruptly	neg
but	neg
yet	neg
fears	neg
danger of being shelved altogether	neg
negative	neg
responsible for	neg
wait - and - see	neg
``red light'' has been issued	neg
big challenge	neg
unmistakable and potentially disastrous	neg
real	neg
arduous negotiations	neg
formidable deadlock	neg
big challenge	neg
did not intend to ratify	neg
seriously threatened	neg
particularly affected would be	neg
might even be higher than	neg
quite a problem	neg
that safety net will fall apart	neg
too high	neg
children in distress	neg
rocket	neg
enormous	neg
admitted	neg
backed out	neg
would be handicapped	neg
heavily damaged	neg
damaged	neg
will have to pour a lot of money	neg
will weaken soon	neg
was shocked	neg
was worried	neg
refusal to accept	neg
not just any lawbreaking person	neg
blamed	neg
they will find themselves on inhospitable ground	neg
should serve as a warning	neg
instability	neg
not at all	neg
hampering	neg
fearing	neg
concerns	neg
not enough	neg
not yet	neg
did not want to give up	neg
the complaint	neg
filing the complaint	neg
refused	neg
they could be held responsible	neg
have filed a complaint	neg
is regarded	neg
damaging to the state's interests	neg
filed a complaint	neg
questions	neg
have not formed a sufficiently strong alliance	neg
apathy	neg
disagreements	neg
certain apathy	neg
is considered	neg
depriving them of the basic human rights , in contravention of its own constitution	neg
fear	neg
to refuse	neg
chorus of condemnation	neg
always accuses	neg
have been divested of many of their basis rights	neg
a blatant case of discrimination in rights	neg
under the pretext of security considerations	neg
severely criticized	neg
under the pretext of fighting terrorism	neg
severely criticized and put pressure on	neg
severely	neg
under the pretext of fighting terrorism	neg
in contravention of the country's constitution	neg
condemned	neg
voices can not be heard by anyone	neg
will become much more difficult	neg
may not receive a fair trial	neg
swift criticism from	neg
pretext	neg
worrying	neg
excessive	neg
undermine	neg
warned	neg
could not be hollowed out	neg
concerns	neg
more severe	neg
critical voice in	neg
heavy toll	neg
is afraid of	neg
be smooth either	neg
significantly weakened	neg
continues to refuse	neg
repeatedly made outrageous	neg
far less than	neg
harm	neg
excessive	neg
weak , developing nation	neg
stymied	neg
to protect their own interests	neg
was critical	neg
even more difficult	neg
long way to go	neg
insufficient	neg
evade its responsibility	neg
irresponsible	neg
higher than any time in the past several hundred thousand years	neg
played the same tactic again	neg
mistake	neg
such an excuse	neg
warned	neg
refuse to fulfill its obligations	neg
disastrous	neg
very concerned	neg
absorb such a burden	neg
excessive	neg
merely a gesture	neg
even	neg
significant	neg
excuses	neg
a long road ahead of us	neg
surge	neg
disaster	neg
threaten our society	neg
deleterious	neg
if it suddenly proved impossible	neg
was martyred	neg
suspected	neg
resistance	neg
reminded	neg
showed little - disguised irritation	neg
were irritated	neg
an uneasy atmosphere reigns	neg
do n't want	neg
swiftly countermanded by	neg
foretaste of resistance	neg
refusing	neg
brings back bad memories	neg
has already provoked	neg
had rebuffed	neg
ill - disciplined	neg
retaliate	neg
declaring a war	neg
being deterred	neg
does not want	neg
does not want	neg
went it alone	neg
the opposition	neg
catering to the interests of the us oil and coal barons	neg
if one goes by the us logic , only the us spy plane is permitted to spy at other people's doorsteps	neg
would not support	neg
condemnation	neg
threatened	neg
hostile regime	neg
will be regarded by	neg
strongly condemned	neg
does not want anything to do with	neg
refused to apologize	neg
consistently opposed	neg
either you are with us or you are with the terrorists	neg
by flashing a carrot on a stick	neg
does not want anything to do with	neg
strongly objected	neg
refuses	neg
difficult	neg
on the rubble of the legitimate palestinian rights	neg
to remove the legitimacy of	neg
the sense of frustration	neg
tragic	neg
damages the credibility	neg
ignored	neg
even impossible	neg
oppressive measures and activities	neg
every oppressive or vindictive israeli action	neg
faltered as a result of israel's intransigence	neg
to warn	neg
and yet it was unable , despite all its forces , weapons , and measures , to achieve full and comprehensive quiet	neg
to blame	neg
security revenge	neg
demands	neg
unfair	neg
the destruction	neg
overlooked	neg
does not serve the interest of peace	neg
attempts to suppress	neg
pretext	neg
not to exploit the calm	neg
could bring about a confrontation for power	neg
 is shrinking	neg
find nothing positive	neg
feel	neg
chavez' incapacity	neg
oppose	neg
as bad or worse	neg
incapable leader	neg
pessimistic	neg
pessimistic again	neg
to the president's misfortune	neg
are against	neg
disapproval	neg
responsible for the country's problems	neg
perception	neg
main problems are in the economic area	neg
are feeling	neg
are feeling	neg
rejected	neg
forceful means	neg
are blaming	neg
resounding and sustained fall	neg
regretted	neg
condemned	neg
targeted killing	neg
injustice	neg
embark on trampling upon human rights of civilians	neg
heavy human losses	neg
bitter experience	neg
heavy losses	neg
deplored	neg
devastating	neg
certain countries resort to	neg
prohibition	neg
expressed concern	neg
denounced	neg
force and weapon had the last say	neg
have also moved to contest	neg
contesting	neg
was unconstitutional	neg
had contested	neg
are expected	neg
should not	neg
makes the republic of china vanish	neg
the problem , he went on , is	neg
failed to give any positive response	neg
can not accept	neg
as if they were quarries	neg
aggressive	neg
taking advantage of this	neg
aggressive ambitions	neg
through a crafty ruse	neg
pretended	neg
unstable situation	neg
infuriated	neg
the sphere of its domination	neg
has become tense again	neg
is adamantly against	neg
can not	neg
will employ a crafty trick	neg
scheme	neg
it is nothing more	neg
under the pretext	neg
due to those who stand in the way of the settlement	neg
its burning territorial ambition	neg
more sympathetic	neg
the desperate fight	neg
wounding palestinians without hesitation	neg
took tolls of women and children	neg
is still bleak	neg
imperialism is the source of war	neg
will remain unchanged	neg
refused	neg
frustrate	neg
were insulting to the palestinians	neg
this is no reason to be optimistic	neg
territorial ambition	neg
deliberately	neg
scheme	neg
a vassal state	neg
pretended to be abiding by the decision	neg
but because of its own national interests	neg
the disturber of peace	neg
israel makes itself appear	neg
dragging its feet	neg
excuses	neg
even committed such an atrocious act	neg
territorial ambition	neg
is becoming more complicated	neg
a political stratagem	neg
the abuse of human rights is rampant	neg
have their human rights ruthlessly trampled upon	neg
pretend to be	neg
deems	neg
really abuse human rights	neg
whether the american society is not reverting to the 1960s	neg
been subjected to abusive language	neg
went so far	neg
more often than not	neg
simply because	neg
as if it were an adjudicator	neg
simply because	neg
more serious with the passage of time	neg
speak ill	neg
can never forget	neg
violation of the palestinian people's human rights	neg
very serious	neg
picked a quarrel	neg
refused to send	neg
disagreeable	neg
voices critical	neg
appeared surprised	neg
picked a quarrel	neg
can easily talk	neg
are wondering	neg
imperialists and reactionaries	neg
as if our country had a human rights problem	neg
to teach a lesson or two	neg
suffered persecution	neg
is not qualified	neg
abusive language	neg
indifferent	neg
under the indifferent gaze	neg
completely isolated	neg
seem logical . 	neg
extra - judicial liquidations	neg
terror	neg
while destroying the instruments of his power	neg
what would then remain	neg
like any form of state terrorism	neg
against all hope	neg
massacres	neg
if not the perpetrator of the sabra and shatila massacres	neg
derived nothing but encouragement	neg
has no chance of living and developing peacefully	neg
forced exodus of hundreds of thousands	neg
everything seems to be collapsing	neg
government of death	neg
recognized	neg
nothing seemed more normal than to settle in someone else's territory	neg
absolutely impossible	neg
extremists	neg
growing frustration	neg
drive him away	neg
do not intend	neg
whom does he think	neg
could approve	neg
asked	neg
policy of terror and death	neg
eating away	neg
feeding on the growing frustration	neg
must no longer be encysted	neg
expulsion	neg
has not achieved	neg
two forms of terrorism fuel each other	neg
above all contradictory	neg
injustice suffered	neg
can anyone believe	neg
end up like french algeria	neg
crushed politically , socially , economically	neg
to deny	neg
believe	neg
still far from equal	neg
contradictory	neg
challenges	neg
now resembles the destruction of the very people	neg
acknowledged	neg
compared	neg
reduced to a series of bantustans	neg
crimes	neg
settlement has increased considerably	neg
what would remain of the ideals	neg
bin ladin and mullah omar put together	neg
quarrel	neg
immediate exploitation	neg
horrifies	neg
supposed to be	neg
policy	neg
chain reaction	neg
worthy arguments	neg
were regrettable	neg
falls at a bad time	neg
another setback for the imf	neg
just as most of the countries that submit to its demands	neg
struggling	neg
grave crisis	neg
nor especially democratic	neg
good pupils	neg
was unable to recommend	neg
incapable	neg
the problem was disposed of in two hours	neg
felt	neg
could not take any risk of ruffling the republicans	neg
is now condemned	neg
is the victim of an explosive situation	neg
are especially critical	neg
has been dragging along	neg
neither especially virtuous	neg
may squander the american taxpayer's money	neg
find itself an outcast of	neg
current extremely perilous situation	neg
serious	neg
is very concerned	neg
lies and by deceiving	neg
throw us from the island	neg
were considered	neg
as if it was a greek cypriot republic	neg
greek dagger that is thrust into the heart of anatolia	neg
can`t be a minority if there is no nation	neg
we fought for half of our lives	neg
a gift to those who stole the cyprus government	neg
were considered as nonexistent by many countries	neg
struggle started to annihilate turks in cyprus	neg
as if it was a minority	neg
the failure to discuss	neg
the ideal of a world kingdom	neg
have all suffered the same fate	neg
they are able to do whatever they want with countries by means of the imf	neg
in the hands of the forces of money	neg
this country can only be dragged along , but wo n't get anywhere	neg
criticized	neg
will not have the same fate as	neg
these three musketeers	neg
befallen	neg
no one has the right to wage war against the history of this nation	neg
those who are really behind it all , those who are behind this business , use the imf	neg
this country can not be brought to prosperity	neg
charged	neg
criticizing	neg
social explosion	neg
if through him they are able to orient turkey in any way they choose	neg
experience the same fate	neg
even though aware of the allegations concerning him	neg
criticism	neg
the actual death blow	neg
fantasy of a world kingdom	neg
social explosion	neg
will not be the same as	neg
that's what happened in argentina	neg
until the imf brought them to the point of death	neg
toy with the world in palms of their hands	neg
criticizing	neg
to do away with	neg
it will just be dragged along	neg
it delivered that blow , and hit argentina	neg
claiming	neg
remain vigilant and are totally committed	neg
fears	neg
declined	neg
declined	neg
suspected	neg
suspicions	neg
believes	neg
meddling	neg
am sure	neg
enemies of venezuela	neg
it is a futile illusion because it is a lie	neg
complained	neg
would not solve the problem	neg
gave the guerrillas the right	neg
opinion	neg
would have happened here	neg
accusing	neg
would not find it at all strange	neg
that four shots would solve the problem	neg
in turn	neg
because	neg
regained	neg
would venture to assure	neg
pit against	neg
that chavez has to be killed	neg
viewed	neg
reporting whatever suits them	neg
meddling	neg
has warned	neg
is sure	neg
charged	neg
the model to follow	neg
dangerous situation	neg
cycle	neg
rising tension	neg
very strong concern	neg
do not	neg
fear	neg
disapprove	neg
against	neg
disapprove	neg
refusal to approve	neg
very painful way	neg
like when one loses one's virginity and the only solution is to enter a convent	neg
never enabled	neg
vulnerable	neg
ruined	neg
grew and grew	neg
before it disappears	neg
there will always be an argentine risk	neg
over - financed	neg
is also the most risky	neg
devastating	neg
unbearable burden	neg
credibility evaporated	neg
abandoned	neg
often unfortunately invisible	neg
the tale today is all the more bitter as it began with such euphoria	neg
looking back one can see a general lack of vigilance	neg
recognizes	neg
show a country on the verge of a civil war	neg
an unpredictable , anarchical situation	neg
sounded alarm bells	neg
threatens argentine democracy	neg
is to permit decay	neg
everything depends	neg
agree	neg
to voice his concern	neg
burn out	neg
political warning must be heeded	neg
affirmed	neg
slowly growing weaker	neg
is viewed	neg
would be a disaster	neg
open	neg
a very risky scenario	neg
concern has spread	neg
disregard	neg
any step backward for democracy	neg
hope	neg
protests	neg
it is dangerous	neg
step up	neg
terrorism	neg
assassinating citizens it alleges have links to security activities	neg
provocation	neg
storming palestinian territories	neg
too harsh to be tolerated	neg
imposed on the palestinian people by force for more than 34 years now	neg
says it should have a free hand to storm the palestinian areas ; . assassinate or arrest palestinian citizens ; . demolish homes , headquarters , and establishments ; . uproot thousands of trees ; . and besiege cities and villages as it likes	neg
draw vindictive reactions	neg
sympathy	neg
have denied	neg
arresting innocent citizens	neg
terrorism	neg
branding	neg
provokes	neg
provocation	neg
brands	neg
what occured in the united states on 11 september	neg
alleges	neg
israeli government does its utmost to hamper the peace process	neg
works to abort his mission in advance by	neg
entrench	neg
unjustified escalation	neg
legitimate rejection	neg
claimed	neg
expressed alarm	neg
preying	neg
claimed	neg
insulting	neg
has issued an assassination order	neg
so - called	neg
the sound of explosions from 7 - ton bombs	neg
shadow of this noise	neg
opposition	neg
protested	neg
act of terrorism	neg
was in fact violating the rights of millions of people throughout the world	neg
assassination	neg
its own inhuman behavior	neg
will put up with	neg
take justice to pre - historic times	neg
crushed human rights principles	neg
will allow	neg
claiming	neg
assassinate	neg
no country	neg
issued the fatwa	neg
only reason for this would be	neg
without having any proof , reason or documentation	neg
it can silence	neg
to be wasted away	neg
blaming	neg
understand	neg
this cruelty	neg
derail	neg
accused	neg
long neglected	neg
warning	neg
sad	neg
the lack of	neg
nonexistence	neg
likely to be understaffed	neg
increasing criticisms	neg
unjustifiable	neg
criticisms mainly focus	neg
are very critical	neg
can not	neg
more seriously than anyone would have thought	neg
under no circumstances	neg
once looked impossible to win	neg
comes at a cost	neg
force himself	neg
no one but she knew how far she was prepared to go	neg
marginalized	neg
is floundering	neg
does not , of course , guarantee success	neg
can not afford	neg
sacrifice himself	neg
or even solidarity	neg
in the lurch	neg
refusal	neg
reined in	neg
thus	neg
feels itself committed	neg
is advocating	neg
is afraid	neg
are urged	neg
debate	neg
every sector's possibilities	neg
highly unclear	neg
decisions	neg
hence	neg
does not wish	neg
urgently necessary	neg
objection	neg
has refused	neg
retaliated	neg
preying	neg
are feared	neg
downgrading	neg
the charges were not just fabricated	neg
was so hard on	neg
would go against	neg
was an affront to the muslim people	neg
a growing impression that misuari could pose a security threat	neg
were plotting	neg
not true	neg
expressed the same apprehension	neg
warned	neg
because of the legal nuances	neg
went against	neg
could force	neg
could trigger a reaction	neg
protest	neg
warned	neg
should be cause for a muslim war	neg
drew flak from	neg
warned	neg
obstacle	neg
he will be there [in ramallah] for as long as i remain prime minister	neg
threatened	neg
ambiguity	neg
and punish those guilty	neg
if arafat fails to fulfill them	neg
claim	neg
to keep yasser arafat stranded	neg
accused	neg
accused of	neg
these leaks had put his life in danger	neg
believing	neg
several occasions	neg
has denounced	neg
accused	neg
having put his life in danger	neg
is accusing	neg
is suspected	neg
complaint	neg
rejection	neg
have given proof of illegality and political persecution	neg
is suspected	neg
rejected	neg
putting his life in danger	neg
violated	neg
leaks	neg
terrible equation	neg
doubly embarrassed	neg
of all places	neg
sets a dangerous precedent	neg
unlawful combatants not entitled to the protection	neg
inhumane and degrading	neg
refuses	neg
vicious battles	neg
threatens	neg
staples of police states	neg
is brazen	neg
perhaps it is perverse	neg
are not to be treated like those jailed by the u . s . 	neg
will complain	neg
is a perverse place	neg
was an act of war	neg
deserves whatever he gets	neg
failure	neg
think	neg
are probably not picky	neg
monstrous criminal outrage	neg
probably think	neg
outrages	neg
would have less leeway	neg
intense interrogation	neg
it becomes , in a weird way , less monstrous	neg
at best	neg
posed a credible security threat	neg
war on terror . 	neg
had appealed	neg
have been accused	neg
on suspicion of	neg
trampled over	neg
had already been rejected	neg
it's very disappointing	neg
have accused	neg
had not been willing	neg
should not have	neg
threats	neg
it violates the rule of law	neg
more criticism	neg
disregarding	neg
concern	neg
is already under fire	neg
want to avoid	neg
unlawful combatants	neg
cramped and spartan	neg
much criticism	neg
criticism	neg
unable to tolerate	neg
restrictive	neg
hardline	neg
in addition to	neg
like a dangerous virus	neg
is ignoring its commitments in the current situation	neg
because of the misguided	neg
is ignoring its commitments	neg
state of stagnation	neg
there are a few ambiguous points	neg
what fate awaits argentina's crisis - stricken economy	neg
the main problem	neg
wave of social tension	neg
is due to its relations with the global economy	neg
increase in the people's anger	neg
paralyzed	neg
protest	neg
deny	neg
dissatisfaction	neg
lavished	neg
riots and widespread strikes	neg
the important point	neg
frozen out of the aftermath	neg
growing concerns	neg
fears	neg
inhumane	neg
to voice concern	neg
was substantial concern	neg
illegal combatants , not prisoners of war	neg
insisted	neg
refused	neg
playing with words	neg
shackled like wild animals	neg
so shocking	neg
outrage	neg
kneel in submission	neg
tortured	neg
is this how	neg
camp x - ray	neg
people arrested on the battlefield	neg
cause a rift	neg
suspected	neg
warns	neg
has n't officially declared war	neg
will be tarnished	neg
stubborn enough	neg
alienate itself	neg
unlawful combatants	neg
could alienate	neg
the superpower has decided to wage war and administer justice all on its own	neg
do not have rights	neg
unashamedly seen fit	neg
the refusal	neg
reminiscent of the torture centres	neg
do n't care	neg
are n't even aware of what they are doing	neg
hardly ring true	neg
usa to end inhumane treatment	neg
nor is depriving them of all their senses	neg
has pointedly remarked	neg
they discredit the usa	neg
for fear of	neg
scandalous	neg
worse still , that they do n't care	neg
is not acceptable in a democracy	neg
disagreement	neg
dangerous	neg
prevalent assumption	neg
they're terrorists , they're murderers	neg
has ignored	neg
refused	neg
equally worryingly	neg
despots around the world will know how to exploit	neg
infinitely difficult to reconcile oneself	neg
a primitive thirst for revenge	neg
exploiting	neg
convince the americans that the bush administration has not only succeeded in removing a regime of religious madmen	neg
being harmed	neg
has allowed itself to infringe international rules	neg
they face the risk	neg
superpower has entered a legal fog	neg
reject	neg
far - reaching repercussions	neg
of chained and humiliated	neg
fear	neg
bloody terrorism	neg
in the name of self - righteousness	neg
an attempt to satisfy a primitive thirst for revenge	neg
compromising the image of the war against terrorism	neg
refused	neg
will undoubtedly rub off	neg
a nonsense term	neg
undermining the legitimacy	neg
be difficult	neg
